form	lemma	POS	morph
བསྡུ་	བསྡུ་	VERB
སྒྲིག་	སྒྲིག་	VERB
གསལ་	གསལ་	VERB
བཤད་	བཤད་	VERB
།		PUNCT
ད་ལམ་	ད་ལམ་	NO_POS
ང་	ང་	PRON
ཚོ་	ཚོ་	DET
འི་	གི་	PART
ཇོ་	ཇོ་	NO_POS
ནང་རྗེ་	ནང་རྗེ་	NO_POS
བཙུན་	བཙུན་	VERB
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
འི་	གི་	PART
གསུང་འབུམ་	གསུང་འབུམ་	NOUN
ཕྱོགས་	ཕྱོགས་	NOUN
གཅིག་	གཅིག་	NUM
ཏུ་	ལ་	PART
བསྒྲིགས་	བསྒྲིགས་	NO_POS
ཏེ་	སྟེ་	PART
པར་སྐྲུན་	པར་སྐྲུན་	OTHER
ཞུས་པ་	ཞུས་པ་	VERB
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
།		PUNCT
གཟན་	གཟན་	NOUN
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
མཆོག་སྤྲུལ་	མཆོག་སྤྲུལ་	OTHER
ཐུབ་བསྟན་	ཐུབ་བསྟན་	NOUN
ཉི་མ་	ཉི་མ་	NOUN
འི་	གི་	PART
བཀའ་སློབ་	བཀའ་སློབ་	OTHER
དང་	དང་	NO_POS
བདག་	བདག་	PRON
རྐྱེན་	རྐྱེན་	NOUN
འོག་	འོག་	NOUN
བྱུང་བ་	བྱུང་བ་	VERB
ཞིག་	ཅིག་	PART
ཡིན་	ཡིན་	NO_POS
།		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
སྤྱི་		
ཁོང་	ཁོང་	PRON
ལ་	ལ་	PART
གསུང་འབུམ་	གསུང་འབུམ་	NOUN
པོད་	པོད་	NOUN
བཞི་	བཞི་	NUM
བཅུ་	བཅུ་	NUM
ཙམ་	ཙམ་	DET
ཞིག་	ཅིག་	PART
ཡོད་	ཡོད་	VERB
ཚུལ་	ཚུལ་	NOUN
ཕྱི་	ཕྱི་	VERB
སུ་	ལ་	PART
བྲིས་པ་	བྲིས་པ་	VERB
འི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
འགའ་	འགའ་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
གསལ་	གསལ་	VERB
ཡང་	ཀྱང་	PART
།		PUNCT
དངོ་	དངོ་	NOUN
སུ་	ལ་	PART
པོད་	པོད་	NOUN
བཞི་	བཞི་	NUM
བཅུ་	བཅུ་	NUM
འི་	གི་	PART
དཀར་ཆག་	དཀར་ཆག་	NOUN
ཁ་གསལ་	ཁ་གསལ་	OTHER
ཞིག་	ཅིག་	PART
ད་	ད་	ADV
སྔོན་	སྔོན་	ADV
ང་	ང་	PRON
ཚོ་	ཚོ་	DET
འི་	གི་	PART
མཇལ་	མཇལ་	NO_POS
རྒྱུ་མ་	རྒྱུ་མ་	NOUN
བྱུང་	བྱུང་	VERB
།		PUNCT
ད་ལམ་	ད་ལམ་	NO_POS
དངོ་	དངོ་	NOUN
སུ་	ལ་	PART
མཇལ་	མཇལ་	NO_POS
རྒྱུ་	རྒྱུ་	NOUN
བྱུང་བ་	བྱུང་བ་	VERB
འི་	གི་	PART
པོད་	པོད་	NOUN
བཅོ་ལྔ་	བཅོ་ལྔ་	NO_POS
ནི་	ནི་	NO_POS
།		PUNCT
དེང་སང་	དེང་སང་	ADV
ཡོངས་གྲགས་	ཡོངས་གྲགས་	ADJ
སུ་	ལ་	PART
རྟག་	རྟག་	VERB
བརྟན་པ་	བརྟན་པ་	VERB
ར་	ལ་	PART
མ་	མ་	PART
ཞེ་	ཅེས་	PART
འབོད་པ་	འབོད་པ་	VERB
འདི་	འདི་	DET
ནི་	ནི་	NO_POS
།		PUNCT
བོད་	བོད་	PROPN
རབ་བྱུང་	རབ་བྱུང་	NOUN
བཅུ་པ་	བཅུ་པ་	NUM
འི་	གི་	PART
མེ་	མེ་	NOUN
འབྲུག་	འབྲུག་	NOUN
		
སྤྱི་ལོ་	སྤྱི་ལོ་	NOUN
		
		
ལ་	ལ་	PART
།		PUNCT
མངའ་རིས་	མངའ་རིས་	PROPN
སྨད་	སྨད་	NOUN
ཀྱི་	གི་	PART
གུང་	གུང་	ADV
ཐང་	ཐང་	NOUN
གི་	གི་	PART
རྒྱལ་རབས་	རྒྱལ་རབས་	NOUN
ཉི་ཤུ་	ཉི་ཤུ་	NUM
རྩ་	རྩ་	NUM
གསུམ་པ་	གསུམ་པ་	NUM
འམ་	གམ་	PART
།		PUNCT
ཡང་	ཀྱང་	PART
ལུགས་	ལུགས་	NOUN
གཅིག་	གཅིག་	NUM
ལ་	ལ་	PART
དམར་པོ་	དམར་པོ་	ADJ
སྡེ་	སྡེ་	NOUN
བསྒྲངས་	བསྒྲངས་	NO_POS
ན་	ལ་	PART
ཉི་ཤུ་	ཉི་ཤུ་	NUM
རྩ་	རྩ་	NUM
བཞི་པ་	བཞི་པ་	ADJ
བསོད་ནམས་	བསོད་ནམས་	NOUN
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
